address,errorType,confidence,match_type,accuracy,layer,message
1305 7TH ST SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 1305 7TH ST SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.244775,44.987957]},""properties"":{""id"":""polyline:129287"",""gid"":""openstreetmap:street:polyline:129287"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129287"",""country_code"":""US"",""name"":""Southeast 7th Street"",""street"":""Southeast 7th Street"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2293.711,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Marcy-Holmes"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872615"",""label"":""Southeast 7th Street, Minneapolis, MN, USA""},""bbox"":[-93.248919,44.986337,-93.240632,44.989559]}]"
730 STINSON PKWY Apt 106,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 730 STINSON PKWY Apt 106, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
730 STINSON PKWY Apt 303,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 730 STINSON PKWY Apt 303, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
4100 IRVING AVE N,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 4100 IRVING AVE N, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.299429,44.983379]},""properties"":{""id"":""polyline:90167"",""gid"":""openstreetmap:street:polyline:90167"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:90167"",""country_code"":""US"",""name"":""Irving Avenue North"",""street"":""Irving Avenue North"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2289.608,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Harrison"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872651"",""label"":""Irving Avenue North, Minneapolis, MN, USA""},""bbox"":[-93.299433,44.982643,-93.29938,44.984121]}]"
730 STINSON PKWY Apt 303,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 730 STINSON PKWY Apt 303, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
730 STINSON PKWY Apt 303,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 730 STINSON PKWY Apt 303, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
730 STINSON PKWY Apt 303,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 730 STINSON PKWY Apt 303, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
730 STINSON PKWY Apt 303,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 730 STINSON PKWY Apt 303, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
730 STINSON PKWY Apt 303,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 730 STINSON PKWY Apt 303, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
501 LYNDALE AVE N,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 501 LYNDALE AVE N, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.286771,44.9817]},""properties"":{""id"":""polyline:72604"",""gid"":""openstreetmap:street:polyline:72604"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:72604"",""country_code"":""US"",""name"":""East Lyndale Avenue North"",""street"":""East Lyndale Avenue North"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2290.622,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""North Loop"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872657"",""label"":""East Lyndale Avenue North, Minneapolis, MN, USA""},""bbox"":[-93.28803,44.971965,-93.28572,44.991923]}]"
511 LYNDALE AVE N,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 511 LYNDALE AVE N, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.286771,44.9817]},""properties"":{""id"":""polyline:72604"",""gid"":""openstreetmap:street:polyline:72604"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:72604"",""country_code"":""US"",""name"":""East Lyndale Avenue North"",""street"":""East Lyndale Avenue North"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2290.622,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""North Loop"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872657"",""label"":""East Lyndale Avenue North, Minneapolis, MN, USA""},""bbox"":[-93.28803,44.971965,-93.28572,44.991923]}]"
519 LYNDALE AVE N,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 519 LYNDALE AVE N, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.286771,44.9817]},""properties"":{""id"":""polyline:72604"",""gid"":""openstreetmap:street:polyline:72604"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:72604"",""country_code"":""US"",""name"":""East Lyndale Avenue North"",""street"":""East Lyndale Avenue North"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2290.622,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""North Loop"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872657"",""label"":""East Lyndale Avenue North, Minneapolis, MN, USA""},""bbox"":[-93.28803,44.971965,-93.28572,44.991923]}]"
